Name,Class,Difficulty,cBbox,Area,IoU,Accuracy
2007_000032,aeroplane,0,"[103, 77, 374, 182]",28455,0.27145779596193187,0.9393910244552147
2007_000032,aeroplane,0,"[132, 87, 196, 122]",2240,0.5283842794759825,0.9968034333493655
2007_000032,person,0,"[194, 179, 212, 228]",882,0.47721822541966424,0.9983869177550039
2007_000032,person,0,"[25, 188, 43, 237]",882,0.5033407572383074,0.9983499204558067
2007_000033,aeroplane,0,"[8, 106, 498, 262]",76440,0.5761388502088721,0.9024856268413375
2007_000033,aeroplane,0,"[420, 199, 481, 225]",1586,0.11800302571860817,0.9966648551242814
2007_000033,aeroplane,0,"[324, 187, 410, 222]",3010,0.48330058939096265,0.9954863991304597
2007_000039,tvmonitor,0,"[155, 88, 343, 278]",35720,0.8963071492790783,0.9831283523866284
2007_000042,train,0,"[262, 31, 499, 294]",62331,0.6124968022512152,0.8845934071515644
2007_000042,train,0,"[0, 35, 234, 298]",61542,0.7168149143576289,0.9157100772043885
2007_000061,boat,0,"[273, 10, 436, 278]",43684,0.5215496368038741,0.9755016520267548
2007_000061,boat,0,"[183, 213, 280, 251]",3686,0.26338702655637786,0.9895113348252199
2007_000063,dog,0,"[122, 114, 378, 274]",40960,0.9856651376146789,0.9977626883536742
2007_000063,chair,0,"[74, 0, 427, 374]",132022,0.7087788803665143,0.8264964818274362
2007_000068,bird,0,"[26, 44, 265, 374]",78870,0.8677106818597282,0.9881331103167055
2007_000121,tvmonitor,0,"[250, 27, 474, 266]",53536,0.8713641668764446,0.9687432228790044
2007_000121,tvmonitor,0,"[21, 27, 250, 272]",56105,0.7750173812282735,0.9460165820511253
2007_000123,train,0,"[0, 25, 357, 339]",112098,0.34190581508253315,0.7331944603911406
2007_000129,bicycle,0,"[69, 201, 254, 499]",55130,0.00750184293829409,0.8471228667802158
2007_000129,bicycle,1,"[250, 241, 333, 499]",21414,0.0,0.9624286143672979
2007_000129,bicycle,1,"[0, 143, 66, 435]",19272,0.49099060993147786,0.9598103062485389
2007_000129,person,1,"[0, 0, 65, 362]",23530,0.6790711346266902,0.963537387703303
2007_000129,person,0,"[73, 0, 271, 461]",91278,0.5617960019589511,0.868516848679157
2007_000129,person,0,"[251, 18, 333, 486]",38376,0.44779805185896554,0.9462311725611996
2007_000170,bottle,0,"[86, 99, 108, 164]",1430,0.0,0.9965093371070229
2007_000170,bottle,0,"[40, 113, 72, 180]",2144,0.39342723004694835,0.9964149948666722
2007_000170,bottle,0,"[323, 147, 351, 205]",1624,0.11814345991561181,0.996520436194123
2007_000170,bottle,1,"[425, 156, 442, 194]",646,0.0,0.9991842170981436
2007_000170,person,0,"[2, 90, 42, 205]",4600,0.0,0.9856877271844391
2007_000170,person,0,"[3, 27, 460, 371]",157208,0.6622801855034253,0.840772496462166
2007_000175,sheep,0,"[24, 33, 418, 270]",93378,0.9089865676727462,0.9668209573869951
2007_000187,tvmonitor,0,"[0, 94, 239, 335]",57599,0.7441072193867612,0.9287824818784596
2007_000241,boat,0,"[355, 182, 499, 279]",13968,0.8163424124513619,0.9948368747778051
2007_000241,boat,0,"[59, 108, 141, 212]",8528,0.46160337552742614,0.9965105149451692
2007_000241,boat,0,"[245, 133, 347, 216]",8466,0.6431670281995662,0.9946016900484043
2007_000243,aeroplane,0,"[180, 126, 273, 192]",6138,0.9952153110047847,0.9999394130334682
2007_000250,diningtable,1,"[0, 169, 473, 374]",96965,0.3809790444727522,0.7582323257174411
2007_000250,bottle,0,"[96, 123, 149, 296]",9169,0.9403919983835118,0.9983871585013149
2007_000256,aeroplane,0,"[7, 95, 490, 231]",65688,0.5112698568026878,0.9083070181880493
2007_000323,person,0,"[276, 2, 499, 374]",82956,0.7249425047041606,0.8913726763804103
2007_000323,person,0,"[11, 2, 304, 374]",108996,0.2143225684170624,0.5892759829798477
2007_000332,horse,0,"[53, 49, 284, 261]",48972,0.584252676309553,0.9352071778348053
2007_000333,train,0,"[0, 38, 366, 269]",84546,0.005039133697866409,0.7139528145440198
2007_000346,bottle,0,"[123, 106, 229, 342]",25016,0.7243680485338726,0.9773349592594646
2007_000346,person,0,"[136, 77, 496, 374]",106920,0.4228048336167112,0.7892522587439721
2007_000346,person,0,"[88, 201, 128, 246]",1800,0.0,0.9967463000942298
2007_000346,person,0,"[71, 208, 110, 258]",1950,0.0,0.9961864641649576
2007_000363,bird,0,"[58, 14, 219, 238]",36064,0.8073936827245456,0.9861035075434464
2007_000363,bird,0,"[160, 121, 499, 332]",71529,0.9598554652213189,0.9929276211089184
2007_000364,motorbike,0,"[53, 24, 453, 314]",116000,0.8447235397599483,0.9597529652823872
2007_000364,motorbike,0,"[317, 36, 488, 160]",21204,0.0,0.9447865862457072
2007_000364,person,0,"[368, 0, 457, 129]",11481,0.6890254309609148,0.9894837089838677
2007_000392,horse,0,"[99, 95, 354, 323]",58140,0.22654221782667822,0.9148729182540546
2007_000392,person,0,"[197, 57, 285, 196]",12232,0.6364844343204252,0.9869720801132035
2007_000452,sofa,0,"[49, 120, 294, 337]",53165,0.8158456529860704,0.9622656984755364
2007_000452,chair,1,"[473, 139, 499, 283]",3744,0.0,0.9856357035060476
2007_000464,cow,0,"[70, 251, 215, 313]",8990,0.9555711037257303,0.9986185065729717
2007_000464,cow,0,"[57, 201, 240, 294]",17019,0.5958928894517822,0.9757042081160019
2007_000480,person,0,"[292, 161, 418, 374]",26838,0.8048163566422512,0.9787724224883948
2007_000480,person,0,"[113, 164, 227, 372]",23712,0.19467282351616172,0.9180411484898848
2007_000480,person,0,"[4, 171, 115, 372]",22311,0.4404008438818565,0.9452748008481862
2007_000480,aeroplane,0,"[1, 67, 485, 324]",124388,0.47235204739099496,0.8427760903203622
2007_000491,cow,0,"[1, 1, 458, 333]",151724,0.257951671558583,0.5050879385384411
2007_000504,cow,0,"[340, 101, 499, 405]",48336,0.6928290136459383,0.9664703941778049
2007_000504,person,0,"[35, 33, 78, 122]",3827,0.4948,0.9936869570433166
2007_000504,person,0,"[1, 43, 35, 119]",2584,0.0,0.9902680169147564
2007_000504,person,0,"[28, 41, 40, 63]",264,0.0,0.9985454509102178
2007_000515,bicycle,1,"[0, 198, 39, 292]",3666,0.0,0.9980568388325707
2007_000515,person,1,"[0, 84, 28, 278]",5432,0.0,0.9895671403236047
2007_000515,car,0,"[63, 163, 150, 209]",4002,0.0005376344086021505,0.9898244039147855
2007_000515,car,0,"[146, 166, 185, 199]",1287,0.0,0.9973890482341865
2007_000528,cat,0,"[123, 67, 318, 309]",47190,0.7025453335551489,0.9512152531459068
2007_000529,boat,0,"[289, 142, 499, 249]",22470,0.7525195968645016,0.9762745071726674
2007_000529,car,1,"[421, 236, 460, 254]",702,0.4923469387755102,0.9986647700586427
2007_000549,cat,0,"[0, 48, 340, 498]",153000,0.800298883120969,0.8482515430757194
2007_000559,bottle,0,"[35, 249, 78, 353]",4472,0.38437336130047195,0.9869610608854039
2007_000559,tvmonitor,0,"[159, 25, 370, 240]",45365,0.6850930579055027,0.9307514604944579
2007_000572,bicycle,0,"[0, 177, 234, 330]",35802,0.14688630974666167,0.9550656333602834
2007_000572,bicycle,0,"[7, 133, 225, 296]",35534,0.016047297297297296,0.9693689074691224
2007_000584,bicycle,0,"[30, 73, 368, 345]",91936,0.4313090993644396,0.8285178411793233
2007_000584,sofa,1,"[343, 206, 499, 373]",26052,0.41953992456037825,0.9361608890498923
2007_000629,train,0,"[33, 83, 499, 183]",46600,0.6973351606517436,0.9099794378470429
2007_000629,person,0,"[86, 99, 106, 123]",480,0.0,0.9980796579617199
2007_000636,train,0,"[78, 95, 391, 299]",63852,0.4911583900427534,0.8754203957759128
2007_000645,bird,0,"[134, 45, 499, 373]",119720,0.6110150654482588,0.8687828042989253
2007_000645,bird,0,"[123, 145, 364, 374]",55189,0.29580642432104687,0.8613124496653615
2007_000648,person,1,"[393, 198, 403, 222]",240,0.0,0.9992115604165484
2007_000648,person,1,"[423, 198, 435, 219]",252,0.0,0.9997035467166222
2007_000648,person,1,"[433, 195, 443, 219]",240,0.0,0.999526936249929
2007_000648,person,1,"[442, 194, 451, 219]",225,0.0,0.9995206287332614
2007_000648,bus,0,"[28, 112, 352, 265]",49572,0.9716215623492258,0.9918380734321091
2007_000648,aeroplane,1,"[327, 85, 473, 191]",15476,0.3269271383315734,0.959795888760636
2007_000648,car,1,"[1, 212, 27, 234]",572,0.0,0.9988015718331535
2007_000661,sofa,0,"[118, 176, 330, 277]",21412,0.8450440614520783,0.9890109282364392
2007_000661,pottedplant,0,"[64, 89, 169, 196]",11235,0.340554821664465,0.9861959118662065
2007_000661,chair,0,"[132, 158, 178, 196]",1748,0.7352297592997812,0.9993308114326166
2007_000663,bus,0,"[11, 1, 416, 466]",188325,0.5605164274014838,0.6611580479977813
2007_000663,car,0,"[6, 38, 62, 93]",3080,0.6312101910828025,0.9971326129374127
2007_000663,car,1,"[361, 23, 421, 52]",1740,0.0,0.99616691263136
2007_000663,car,0,"[375, 35, 421, 80]",2070,0.16718847839699436,0.9934134286817943
2007_000663,car,1,"[372, 67, 421, 107]",1960,0.0,0.9942404643285164
2007_000663,car,1,"[375, 97, 421, 209]",5152,0.20756699947451393,0.9925319176331924
2007_000676,sheep,0,"[58, 93, 471, 269]",72688,0.9587677196115638,0.9898986031961322
2007_000713,boat,0,"[79, 167, 253, 311]",25056,0.8594169734354791,0.9827325997030447
2007_000713,boat,0,"[183, 159, 471, 268]",31392,0.5989966979933959,0.9614141426485234
2007_000720,dog,0,"[216, 117, 304, 262]",12760,0.14766355140186915,0.961109926593768
2007_000727,bus,0,"[88, 322, 272, 435]",20792,0.8112490499113251,0.9834932311169211
2007_000727,car,0,"[271, 368, 322, 387]",969,0.0,0.9975904548778056
2007_000727,car,0,"[1, 379, 88, 434]",4785,0.0015069318866787222,0.9816486827819999
2007_000727,person,0,"[332, 355, 357, 437]",2050,0.0,0.9957126714377507
2007_000727,person,0,"[318, 356, 340, 423]",1474,0.0,0.9967041854075732
2007_000727,person,0,"[353, 362, 374, 413]",1071,0.0,0.9979671194026544
2007_000727,car,1,"[48, 366, 89, 388]",902,0.009823182711198428,0.9972082511687679
2007_000727,car,0,"[112, 137, 159, 163]",1222,0.0,0.9963662951720471
2007_000733,person,0,"[47, 24, 272, 382]",80550,0.7252975477274543,0.9442881442881443
2007_000733,motorbike,0,"[102, 200, 447, 434]",80730,0.6814013284765373,0.9197073197073197
2007_000738,aeroplane,0,"[0, 123, 495, 234]",54945,0.8303255369513758,0.951409576287525
2007_000762,diningtable,1,"[0, 188, 499, 374]",92814,0.563739886955558,0.8136285354118211
2007_000762,bottle,0,"[28, 151, 117, 374]",19847,0.9545272969374168,0.9959578384200652
2007_000762,person,0,"[381, 60, 499, 260]",23600,0.7232365424779357,0.9756878480668052
2007_000762,person,1,"[341, 141, 392, 201]",3060,0.0,0.9940995093774597
2007_000762,person,0,"[142, 126, 265, 222]",11808,0.009833134684147794,0.9803336706733188
2007_000762,person,0,"[198, 139, 219, 186]",987,0.0,0.9963543608590925
2007_000762,person,0,"[3, 21, 123, 251]",27600,0.8728274692666385,0.989347158354491
2007_000762,person,1,"[2, 248, 173, 327]",13509,0.0,0.9842337943646468
2007_000768,bus,0,"[368, 102, 474, 282]",19080,0.3280404370468702,0.9275434926227704
2007_000768,bus,0,"[32, 45, 368, 329]",95424,0.7715902866532773,0.8966912574322836
2007_000783,person,0,"[200, 56, 324, 258]",25048,0.3942373344257818,0.9558677225516335
2007_000783,horse,0,"[111, 99, 440, 408]",101661,0.6550836550836551,0.91734649210076
2007_000793,person,0,"[288, 99, 315, 182]",2241,0.0,0.9943592486923443
2007_000793,person,0,"[240, 110, 269, 179]",2001,0.2831389183457052,0.9959819305753685
2007_000793,person,0,"[217, 106, 235, 177]",1278,0.0,0.9956015216357584
2007_000793,person,0,"[401, 66, 466, 258]",12480,0.6469452247191011,0.9880468378506895
2007_000793,person,0,"[64, 109, 83, 160]",969,0.014705882352941176,0.9972123157394199
2007_000793,person,0,"[95, 106, 113, 158]",936,0.0,0.9980801236329053
2007_000793,person,0,"[99, 77, 189, 281]",18360,0.6848032110603188,0.983196623870661
2007_000793,person,1,"[272, 102, 294, 181]",1738,0.4117647058823529,0.9973846885401807
2007_000793,bicycle,0,"[150, 159, 309, 279]",19080,0.0031380753138075313,0.9886709462672373
2007_000793,bus,0,"[1, 79, 50, 134]",2695,0.060656418778562524,0.9865608654303376
2007_000799,horse,0,"[94, 22, 499, 440]",169290,0.7329461588335103,0.9087996834205654
2007_000799,person,0,"[229, 224, 499, 440]",58320,0.4147649370829652,0.9095110449476843
2007_000804,chair,0,"[93, 242, 152, 303]",3599,0.0,0.9867854795302055
