Name,Class,Difficulty,cBbox,Area,IoU,Accuracy
2007_000032,aeroplane,0,"[103, 77, 374, 182]",28455,0.2755322988090942,0.9405823374893633
2007_000032,aeroplane,0,"[132, 87, 196, 122]",2240,0.5283842794759825,0.9968034333493655
2007_000032,person,0,"[194, 179, 212, 228]",882,0.4844124700239808,0.9984091161345222
2007_000032,person,0,"[25, 188, 43, 237]",882,0.5033407572383074,0.9983499204558067
2007_000033,aeroplane,0,"[8, 106, 498, 262]",76440,0.5131711958137599,0.9063299104716684
2007_000033,aeroplane,0,"[420, 199, 481, 225]",1586,0.0,0.996338777494923
2007_000033,aeroplane,0,"[324, 187, 410, 222]",3010,0.4672131147540984,0.9955378850719373
2007_000039,tvmonitor,0,"[155, 88, 343, 278]",35720,0.8967733342213047,0.9832042043669069
2007_000042,train,0,"[262, 31, 499, 294]",62331,0.49629061140956765,0.8499847622917514
2007_000042,train,0,"[0, 35, 234, 298]",61542,0.7131033894328193,0.9146053433563592
2007_000061,boat,0,"[273, 10, 436, 278]",43684,0.5205860983288932,0.9754582592039277
2007_000061,boat,0,"[183, 213, 280, 251]",3686,0.25511536787113626,0.9893935543061178
2007_000063,dog,0,"[122, 114, 378, 274]",40960,0.9859876720183486,0.9978130278657166
2007_000063,chair,0,"[74, 0, 427, 374]",132022,0.5988957485344811,0.7696072399404875
2007_000068,bird,0,"[26, 44, 265, 374]",78870,0.34554941682013507,0.9417259737846141
2007_000121,tvmonitor,0,"[250, 27, 474, 266]",53536,0.8792502481475497,0.9709119015975933
2007_000121,tvmonitor,0,"[21, 27, 250, 272]",56105,0.7750764809492908,0.9460332641951144
2007_000123,train,0,"[0, 25, 357, 339]",112098,0.0019395353253129704,0.5976730581024707
2007_000129,bicycle,0,"[69, 201, 254, 499]",55130,4.440300164291106e-05,0.8495808703202752
2007_000129,bicycle,1,"[250, 241, 333, 499]",21414,0.0,0.9624286143672979
2007_000129,bicycle,1,"[0, 143, 66, 435]",19272,0.49099060993147786,0.9598103062485389
2007_000129,person,1,"[0, 0, 65, 362]",23530,0.7169635652659674,0.9695421300470894
2007_000129,person,0,"[73, 0, 271, 461]",91278,0.5056734786044936,0.8830244130514644
2007_000129,person,0,"[251, 18, 333, 486]",38376,0.43845783794928184,0.9454229703102561
2007_000170,bottle,0,"[86, 99, 108, 164]",1430,0.0,0.9965093371070229
2007_000170,bottle,0,"[40, 113, 72, 180]",2144,0.38287864534336785,0.9963594994311717
2007_000170,bottle,0,"[323, 147, 351, 205]",1624,0.0,0.9960542745359194
2007_000170,bottle,1,"[425, 156, 442, 194]",646,0.0,0.9991842170981436
2007_000170,person,0,"[2, 90, 42, 205]",4600,0.0,0.9858264657731901
2007_000170,person,0,"[3, 27, 460, 371]",157208,0.48495912934913193,0.7573295596437193
2007_000175,sheep,0,"[24, 33, 418, 270]",93378,0.9321069526940007,0.9769086938898259
2007_000187,tvmonitor,0,"[0, 94, 239, 335]",57599,0.7437176140569604,0.9286740508216363
2007_000241,boat,0,"[355, 182, 499, 279]",13968,0.8103348171085737,0.9946399759345859
2007_000241,boat,0,"[59, 108, 141, 212]",8528,0.4582278481012658,0.9964886372959225
2007_000241,boat,0,"[245, 133, 347, 216]",8466,0.646059291395517,0.9946454453468975
2007_000243,aeroplane,0,"[180, 126, 273, 192]",6138,0.9956937799043062,0.9999454717301214
2007_000250,diningtable,1,"[0, 169, 473, 374]",96965,0.3352476059804518,0.7430606811111657
2007_000250,bottle,0,"[96, 123, 149, 296]",9169,0.9391796322489392,0.9983543549454094
2007_000256,aeroplane,0,"[7, 95, 490, 231]",65688,0.559813470723177,0.9283677266162395
2007_000323,person,0,"[276, 2, 499, 374]",82956,0.0,0.6338190205155587
